synset,model_id,split
02808440,ec906d77906e85d53af30a3946d92feb,train
02808440,352453edb5b6f8b4a485efa4c77b16eb,train
02808440,e5f025768acc620dccd0340812259a39,train
02808440,d8d89fb14672b3893321831d2245cf06,train
02808440,93818961a43764e23321831d2245cf06,train
02808440,6c92a80574e97e6a2f38c0d2792fb5e,train
02808440,71753adcff89e231b362845c6edb57fc,train
02808440,65b424795fe6d071ce163f4a7838826d,train
02808440,36a1ff10474e401ae440cc76354dcf85,train
02808440,bf8e5bbe0e0938d98afd316e82119b42,train
02808440,4305c0f75a0bb2703af30a3946d92feb,train
02808440,b3af478264146f6ad9b53420a5458c53,train
02808440,450fa1bb2cc0ee578c0a569dc2eaa6c1,train
02808440,68f9ebf8529d567ab362845c6edb57fc,train
02808440,7d41c1e628b1312977da90a8fc1a6429,train
02808440,7ea685c4ca42c7df63ffebf86d8dd00,train
02808440,1e454ec01708c3b24c62bee40dcdc539,train
02808440,1cc2487bfbc0209e3321831d2245cf06,train
02808440,529eb2a106db950ccd0340812259a39,train
02808440,b8cd34d7b1e0e9ae84e6e639680867d1,train
02808440,a1531938a8f8c32b6e1f781c3bfa1222,train
02808440,77e0932f0886aede3321831d2245cf06,train
02808440,f96cd761f71daf3354d7082b34825ef0,train
02808440,deba7a0e1fe26833f0aeabfdcb4e1dd9,train
02808440,78648b94a2402ca6904e03fa15bd73ec,train
02808440,beafc45419f70db3252e0775cff1c394,train
02808440,99c5407b80625a0c904e03fa15bd73ec,train
02808440,2cc413a8680b6269b362845c6edb57fc,train
02808440,73baa3af38c96a52c85e7a9bf0779313,train
02808440,519fae15db7dcd017b39ab85244ee8e6,train
02808440,c52b603a212365a4670204dee97dc037,train
02808440,1866a0bcda2564053321831d2245cf06,train
02808440,2962e044492c43f2921bd8a746d486d6,train
02808440,fbbe1f77590ae6771a3b39b07e4b3d0f,train
02808440,5634cbd9ad6317b444221bef0fa3c36b,train
02808440,c3524cfa04be2a427568fd1ca5bc0200,train
02808440,487665836aea026ccb2f32ac395fe2b,train
02808440,90b6e958b359c1592ad490d4d7fae486,train
02808440,a375d94c02f2924b550584dfc8970d11,train
02808440,b43b17f0378ed699ff1dc6e98c2e01fa,train
02808440,ce8ba9a23d9fb8ac125fa9990176f0d5,train
02808440,198abf39ad554388b362845c6edb57fc,train
02808440,63b259b0b462f6f9e59685727bdd9ae9,train
02808440,30d2a4ee211c4383125fa9990176f0d5,train
02808440,78c992bac95191673321831d2245cf06,train
02808440,aba9f8d311894cf539d4219710154fda,train
02808440,5bcca919768845bdd0043cfa915003ff,train
02808440,b08727e640554b493321831d2245cf06,train
02808440,37f0a39abf371409ec54a7cce22716f0,train
02808440,4bba4847c53eefa43121505b9493314,train
02808440,ae8938fbd91ce8e0c790d7efcdfb5239,train
02808440,af1626daddb7a607b805ea9e53402739,train
02808440,857adf3f4e2845b044221bef0fa3c36b,train
02808440,9b2952001ce703ab6b448b8aaebb705c,train
02808440,6af7584c142246a23321831d2245cf06,train
02808440,f5dfd2eac1ede18c35403ea5eb244169,train
02808440,b5ebd151fc2625da54d7082b34825ef0,train
02808440,b14791a6df68c09fde250725ad622108,train
02808440,e90b251f9f026ab36b354c7301136f53,train
02808440,170cf39eca88a50e125fa9990176f0d5,train
02808440,8a79f6c9e4e6badc26ab2d6bff19a0af,train
02808440,d066024b84c1b4fb469ceade478d6997,train
02808440,19da369ff1db9ecd670204dee97dc037,train
02808440,dd49561080df1a3f798df87163b1956c,train
02808440,8825b869b855967fc197f3661a4ec752,train
02808440,61a19c2b6dbab7be1291d1279f7bf122,train
02808440,4f14ed9498cd69c6392f36bc2fbdcf8c,train
02808440,d0df653cb5c1ca016b6c87c9f47318a,train
02808440,2b6bea31677afd413321831d2245cf06,train
02808440,1b6bbfbba694e33476c18e71fd49c4dc,train
02808440,e90977d3e1c960ed904e03fa15bd73ec,train
02808440,25370f9a01166beaa13edbe825cc0113,train
02808440,4e399a21e6900cb9cbbed63b99f90f4a,train
02808440,a8765cfb0701f015fe52ffd0e748a1ab,train
02808440,3124505d1bab02cbb362845c6edb57fc,train
02808440,df67f38c55e4dd0b3321831d2245cf06,train
02808440,c11ac2c84d7e8566b04f97563601480e,train
02808440,885497f2bb3cbd3c859d92988090f02a,train
02808440,cc98d2d5157aab693321831d2245cf06,train
02808440,52160c130b4c132244221bef0fa3c36b,train
02808440,a3fb3caf38b63d06ccd0340812259a39,train
02808440,5395c36e4449a364a0986899fca7913,train
02808440,326e05c24641bf43b362845c6edb57fc,train
